Line_Number,Existing_Band_Gap_eV,Existing_Predicted_Formation_Energy_eV_per_atom,New_Band_Gap_eV,New_Predicted_Formation_Energy_eV_per_atom
1,0,-0.121797909,0,-0.1205212
2,0,-0.48561382,0,-0.45078304
3,4.6523,-0.391225625,4.5057,-0.360386169
4,0,-0.886583388,0,-0.886583388
5,1.125,4.310038326,0.8875,4.312061679
6,0,0.312529684,0,0.312529684
7,4.0868,-0.329066984,4.0258,-0.340101062
8,0.8257,-0.381548617,0.8257,-0.378037304
9,2.1892,-1.21044919,2.0044,-1.358007148
10,0,-1.551559743,0,-1.551220822
11,0.0068,-0.074813089,0.0027,-0.094376942
12,0,-0.172072121,0,-0.18207216
13,0,-1.725376487,0,-1.725376487
14,2.328,-2.088322268,2.3861,-2.143038794
15,1.1586,-1.75017375,1.0634,-1.750455
16,5.643,-0.392702094,5.567,-0.392885441
17,0,-0.148068192,0,-0.148068196
18,2.4836,-0.35135121,2.5661,-0.351241305
19,0,-0.483630029,0,-0.492778642
20,0,-0.128614893,0,-0.128664709
21,2.3156,-0.989084384,2.3156,-0.989478347
22,0,-0.158638646,0,-0.156644113
23,2.072,-0.213420684,2.072,-0.213420384
24,0,-0.46689767,0,-0.500172768
25,3.2495,-1.411691571,3.7247,-1.407340868
26,0,-0.056231035,0,-0.056155348
27,0,0.093144621,0,0.093314976
28,0,-0.877022441,0,-0.811183035
29,0,-0.152442161,0,-0.152442575
30,0.9439,-2.043646254,0.9357,-2.038128731
31,1.3588,-2.39411282,1.4938,-2.312304963
32,0.0501,-0.234793715,0.0607,-0.210100359
33,5.0556,-1.156304898,4.875601385,-1.013902919
34,0,-1.198655024,0,-1.33112889
35,1.0259,-1.904762709,1.021,-1.986479386
36,0.415,0.043304358,0.246,0.070372964
37,0,1.691357589,0,1.066729384
38,0.7538,-0.403954407,0.7538,-0.403954909
39,0.3743,0.04106664,0.3443,0.078285833
40,0,-1.935909764,0,-1.935909764
41,0.1452,2.23882588,0.0887,2.068657899
42,4.0857,-0.423758197,3.9081,-0.415343488
43,0,-0.300902574,0,-0.300797725
44,0,2.636532037,0,2.696501
45,0,0.758531765,0,0.77853
46,4.0267,-1.221445923,4.0460952,-1.558350914
47,0,-0.15381287,0,-0.113298549
48,0,0.196788274,0,0.196727191
49,5.1663,-0.917139313,5.3282,-1.297285467
50,0,-1.105937981,0,-1.559139548
51,0,1.535823682,0,1.055044201
52,1.3271,0.01490594,1.4681,0.012192465
53,2.1524,-1.104846896,2.0613,-1.10423
54,1.7669,-0.513756778,1.7563,-0.468193961
55,0,0.067178039,0,0.05582223
56,3.4857,-2.267257147,3.4851,-2.26795487
57,5.6634,-1.432959969,5.7266,-1.432284385
58,3.5256,-0.221525681,3.1899,-0.227128161
59,1.0154,-0.70578002,1.4168,-0.612684894
60,0,0.464502771,0,0.484420351
61,1.5228,-0.911045832,1.5228,-0.884267548
62,0,-0.199628208,0.005299092,-0.193284136
63,2.5699,-0.227870431,2.2101,-0.389223417
64,0.3742,-0.210419464,0.3105,-0.193169684
65,0,-0.762333313,0,-0.725729979
66,0,-2.790469027,0,-2.790469027
67,2.2166,0.12269524,1.9588,0.089214347
68,0.531,-0.055934982,1.1207,-0.054681621
69,2.5859,-1.177302631,2.4222,-1.295336859
70,1.0894,-0.178246916,0.9552,-0.175776815
71,0.4841,-0.340295179,0.4841,-0.340789225
72,1.3563,-0.783044779,1.3561,-0.252204909
73,6.5013,-0.120933829,6.5013,-0.120400488
74,3.7109,-0.827521872,3.6596,-0.827446463
75,0,-0.557304915,0,-0.557178321
76,4.5995,-1.073373994,4.7381,-1.210150832
77,1.8326,-1.173334826,1.8323,-1.088128828
