Line_Number,Existing_Band_Gap_eV,Existing_Predicted_Formation_Energy_eV_per_atom,New_Band_Gap_eV,New_Predicted_Formation_Energy_eV_per_atom
1,0,-0.121797909,0,-0.117668354
2,0,-0.48561382,0,-0.514233051
3,4.6523,-0.391225625,5.5531,-0.379061567
4,0,-0.886583388,0.9674,-0.620491659
5,1.125,4.310038326,0.6018,4.149421833
6,0,0.312529684,0,0.226077585
7,4.0868,-0.329066984,4.0858,-0.339439536
8,0.8257,-0.381548617,0.8257,-0.381079316
9,2.1892,-1.21044919,3.5831,-1.172585735
10,0,-1.551559743,0,-1.684413163
11,0.0068,-0.074813089,1.4544,-0.214839173
12,0,-0.172072121,0,-0.235360706
13,0,-1.725376487,0,-1.555936652
14,2.328,-2.088322268,3.2481,-1.424864425
15,1.1586,-1.75017375,2.1811,-1.756555833
16,5.643,-0.392702094,5.866,-0.392425303
17,0,-0.148068192,0,-0.157233099
18,2.4836,-0.35135121,2.567,-0.405233432
19,0,-0.483630029,0,-0.405571743
20,0,-0.128614893,0,-0.1328321
21,2.3156,-0.989084384,1.8323,-0.97348088
22,0,-0.158638646,0,-0.14308194
23,2.072,-0.213420684,3.4715,-0.189245133
24,0,-0.46689767,0,-0.566855882
25,3.2495,-1.411691571,3.2495,-1.364100889
26,0,-0.056231035,0,-0.056674282
27,0,0.093144621,0.6735,0.093890201
28,0,-0.877022441,0,-0.909380205
29,0,-0.152442161,0,-0.148566035
30,0.9439,-2.043646254,0.9481,-2.038223523
31,1.3588,-2.39411282,1.7705,-2.381193129
32,0.0501,-0.234793715,0.2912,-0.292314242
33,5.0556,-1.156304898,4.6751,-1.364385054
34,0,-1.198655024,0,-1.382160757
35,1.0259,-1.904762709,1.1203,-1.953381385
36,0.415,0.043304358,0.3445,0.264675017
37,0,1.691357589,0,1.344159226
38,0.7538,-0.403954407,0.8601,-0.315946432
39,0.3743,0.04106664,0.3443,0.264104014
40,0,-1.935909764,0,-1.412385919
41,0.1452,2.23882588,0.131,-0.354796537
42,4.0857,-0.423758197,3.9081,-0.415758352
43,0,-0.300902574,0,-0.25021928
44,0,2.636532037,0,2.354776428
45,0,0.758531765,0,1.396456229
46,4.0267,-1.221445923,5.0864,-1.218315055
47,0,-0.15381287,0,-0.113418143
48,0,0.196788274,0,0.315388385
49,5.1663,-0.917139313,4.3645,-1.199266752
50,0,-1.105937981,0,-1.139435503
51,0,1.535823682,0,1.159700454
52,1.3271,0.01490594,0.6057,0.01256
53,2.1524,-1.104846896,2.5535,-1.620906978
54,1.7669,-0.513756778,2.886,-0.360946261
55,0,0.067178039,0,0.358250729
56,3.4857,-2.267257147,3.1654,-2.26580312
57,5.6634,-1.432959969,4.9267,-1.407426838
58,3.5256,-0.221525681,3.0864,-0.221051224
59,1.0154,-0.70578002,1.0156,-1.312061034
60,0,0.464502771,0,-0.13391995
61,1.5228,-0.911045832,2.6563,-0.807166513
62,0,-0.199628208,0,-0.053348613
63,2.5699,-0.227870431,2.9861,-0.354437492
64,0.3742,-0.210419464,0.3745,-0.09338582
65,0,-0.762333313,0,-0.60937215
66,0,-2.790469027,0,-2.705831358
67,2.2166,0.12269524,2.543,0.111089341
68,0.531,-0.055934982,0,-0.032811149
69,2.5859,-1.177302631,2.3688,-1.228200226
70,1.0894,-0.178246916,0.3066,-0.139818438
71,0.4841,-0.340295179,0.2335,-0.362441015
72,1.3563,-0.783044779,2.4221,-0.771656639
73,6.5013,-0.120933829,7.9615,-0.221155182
74,3.7109,-0.827521872,2.7,-0.827313921
75,0,-0.557304915,0,-0.50897636
76,4.5995,-1.073373994,5.7511,-1.265016674
77,1.8326,-1.173334826,1.8322,-1.265314718
78,3.9081,-0.419502445,3.9081,-0.419502446
79,0,-0.863648567,0,-0.863648564
80,1.1815,0.089759314,1.1253,0.089104166
81,0,-2.503536432,0,-2.502456988
82,0.4652,0.039960622,0.7581,0.039962631
83,0,-1.422219526,0,-1.233204092
84,0,-0.157779082,0,-0.157709219
85,5.5566,-0.335416118,5.9498,-0.391783065
86,5.961,-0.312182648,5.961,-0.312061445
87,0,-0.511423514,0,-0.285192279
88,2.117,-0.334934236,2.5671,-0.453585793
89,0,-1.433421929,0,-1.44067592
90,0.9844,-1.800390253,0.9844,-1.800254357
91,1.4661,0.206262348,1.7168,0.252440624
92,2.9265,-2.079569781,2.0265,-2.128857348
93,3.4032,-1.775553896,3.0033,-1.775315754
94,3.9617,-1.405274101,2.9052,-0.643982051
95,2.2935,-1.22106915,2.2937,-1.221161435
96,0.2499,-0.151448064,0.4213,-0.151435393
97,1.1939,-1.748381436,1.0633,-1.756550898
98,2.1265,-0.792236485,1.6266,-0.792141196
99,2.7533,-1.63548236,2.1716,-1.635286265
100,1.0305,-0.982572769,0.5667,-0.725079315
101,1.6365,-0.918837142,2.9003,-0.957150203
102,0,-0.447769488,0,-0.219202878
103,0,-0.131100755,0,-0.132100164
104,0,-0.298495954,0.56,-0.298654658
105,0,-2.747455214,0,-2.750727082
106,4.0135,-0.150915438,4.0134,-0.150128832
107,0.9052,-0.472523308,0.9052,-0.544360379
108,2.038,-1.182081315,2.116,-1.182479216
109,1.4684,-2.85577596,1.2937,-2.729386263
110,0,-1.204222389,0,-1.204222389
111,0.1193,0.083116907,0.1193,0.286472239
112,0,-1.133776838,0,-1.13308307
113,5.3302,-0.359813363,5.61,-0.2656844
114,1.5671,-1.275029429,1.5671,-1.275029429
115,2.5275,-0.68606004,2.4228,-0.705378515
116,0,-1.053071871,0,-1.298421678
