Line_Number,Existing_Band_Gap_eV,Existing_Predicted_Formation_Energy_eV_per_atom,New_Band_Gap_eV,New_Predicted_Formation_Energy_eV_per_atom
1,0,-0.121797909,0,-0.128691285
2,0,-0.48561382,0,-0.484556787
3,4.6523,-0.391225625,4.6439,-0.425662632
4,0,-0.886583388,0,-0.848371619
5,1.125,4.310038326,1.0534,4.952515883
6,0,0.312529684,0,0.544728311
7,4.0868,-0.329066984,4.2583,-0.378889382
8,0.8257,-0.381548617,0.8277,-0.662274636
9,2.1892,-1.21044919,2.6615,-1.424432962
10,0,-1.551559743,0,-1.306733933
11,0.0068,-0.074813089,0.3257,-0.100384944
12,0,-0.172072121,0,-0.197425639
13,0,-1.725376487,0,-1.884378878
14,2.328,-2.088322268,2.652,-2.572920963
15,1.1586,-1.75017375,1.0924,-1.774209835
16,5.643,-0.392702094,5.5113,-0.358349758
17,0,-0.148068192,0,-0.162669344
18,2.4836,-0.35135121,2.766,-0.452097916
19,0,-0.483630029,0,-0.435425752
20,0,-0.128614893,0.0014,-0.152066746
21,2.3156,-0.989084384,1.3126,-0.93505769
22,0,-0.158638646,0,-0.113879876
23,2.072,-0.213420684,2.8391,-0.145287984
24,0,-0.46689767,0,-0.605044768
25,3.2495,-1.411691571,3.567,-1.410220764
26,0,-0.056231035,0,0.048123844
27,0,0.093144621,0,0.059074695
28,0,-0.877022441,0,1.291590307
29,0,-0.152442161,0,-0.1576035
30,0.9439,-2.043646254,0.9631,-2.026814905
31,1.3588,-2.39411282,1.7933,-2.162221202
32,0.0501,-0.234793715,0.0693,-0.297582435
33,5.0556,-1.156304898,6.3469,-1.067270979
34,0,-1.198655024,0.3182,-1.232942439
35,1.0259,-1.904762709,1.249,-1.882413629
36,0.415,0.043304358,0,-0.139764437
37,0,1.691357589,0,1.153321538
38,0.7538,-0.403954407,0,-0.614537969
39,0.3743,0.04106664,0,0.093407864
40,0,-1.935909764,0,-1.706485356
41,0.1452,2.23882588,2.9766,-0.173962047
42,4.0857,-0.423758197,4.1601,-0.417949864
43,0,-0.300902574,0,-0.366327229
44,0,2.636532037,1.8812,-0.285413587
45,0,0.758531765,0,0.343416894
46,4.0267,-1.221445923,4.2546,-1.288290251
47,0,-0.15381287,0,-0.140256525
48,0,0.196788274,0.8067,-0.396821323
49,5.1663,-0.917139313,6.2066,-0.73104785
50,0,-1.105937981,0,-1.339428169
51,0,1.535823682,5.5743,1.233950272
52,1.3271,0.01490594,1.5707,0.004536434
53,2.1524,-1.104846896,0,-1.119036613
54,1.7669,-0.513756778,2.8377,-0.489987726
55,0,0.067178039,0,0.004219163
56,3.4857,-2.267257147,3.4794,-2.328414561
57,5.6634,-1.432959969,4.7167,-1.611970526
